2,B,0,B,2,-1
2,B,1,B,3,-1
4,A,2,A,5,1
4,A,2,C,5,1
5,B,0,B,2,-1
5,C,0,C,2,-7
5,B,3,D,1,1
5,D,0,D,2,-1
6,B,1,E,1,-5
6,B,5,E,1,-5
6,B,1,E,5,-5
6,B,5,E,5,-5
12,C,0,C,2,-1
12,C,2,C,4,1
16,B,0,B,2,1
23,A,2,A,4,-1
23,A,3,A,5,-1
23,B,0,B,2,1
23,B,2,B,4,-1
25,A,4,B,0,4
25,A,4,B,4,4
27,A,3,C,0,6
27,A,7,C,0,6
27,A,3,C,4,6
27,A,7,C,4,6
28,B,0,B,2,-1
28,B,2,B,4,1
28,C,0,C,2,-1
29,A,2,D,1,6
29,B,2,D,1,6
29,D,5,E,6,-2
29,E,5,E,6,-2
29,D,5,F,6,-2
29,E,5,F,6,-2
30,B,0,B,2,-1
30,B,2,B,4,1
31,A,0,B,1,4
31,A,2,B,1,4
31,A,4,B,1,4
33,A,1,B,0,3
33,A,5,B,0,3
33,A,1,B,2,3
33,A,5,B,2,3
34,B,0,B,2,1
34,B,2,B1,0,-1
34,B,0,B1,2,1
34,B1,0,B1,2,1
39,A,2,B,1,2
39,B,1,B,2,-2
39,A,2,B,5,2
39,B,2,B,5,2
41,B,0,B,2,-1
41,B,1,B,3,-1
41,B,2,B,4,1
41,B,2,B1,0,1
41,B,3,B1,1,1
41,B,0,B1,2,-1
41,B,4,B1,2,-1
41,B1,0,B1,2,-1
41,B,1,B1,3,-1
41,B1,1,B1,3,-1
47,A,0,B,0,7
47,A,2,B,0,7
47,A,4,B,0,7
47,A,0,B,2,7
47,A,2,B,2,7
47,A,4,B,2,7
48,A,2,A,4,3
48,A,2,B,0,3
48,A,4,B,2,-3
48,B,0,B,2,-3
48,A,2,B,4,3
48,B,2,B,4,3
49,A,3,A,7,-1
49,A,3,B,7,-1
50,B,1,B,3,-3
50,B,3,B,5,3
50,A,6,B,6,1
50,B,1,B,7,-3
50,B,5,B,7,-3
50,B,3,B1,1,3
50,B,7,B1,1,3
50,B,1,B1,3,-3
50,B,5,B1,3,-3
50,B1,1,B1,3,-3
50,B,3,B1,5,3
50,B,7,B1,5,3
50,B1,3,B1,5,3
53,B,2,B,4,1
53,B,4,B1,2,-1
60,A,3,B,3,7
61,B,0,B,1,1
61,B,1,B,4,-1
61,B,0,B,5,1
61,B,4,B,5,1
66,A,0,A,1,-1
66,A,1,A,4,1
66,A,0,A,5,-1
66,A,4,A,5,-1
72,A,4,B1,4,7
73,A,6,B,0,3
73,A,6,B,2,3
73,A,6,B,4,3
73,B,0,B,6,-3
73,B,2,B,6,-3
73,B,4,B,6,-3
74,A,0,A,1,-1
74,A,1,A,4,1
74,A,0,A,5,-1
74,A,4,A,5,-1
77,B,0,B,2,-1
77,A,5,B,3,-1
77,B,1,B,3,-1
77,B,2,B,4,1
77,B,3,B,5,1
77,B,2,B1,0,1
77,B,3,B1,1,1
77,B,0,B1,2,-1
77,B,4,B1,2,-1
77,B1,0,B1,2,-1
77,A,5,B1,3,-1
77,B,1,B1,3,-1
77,B,5,B1,3,-1
77,B1,1,B1,3,-1
82,B,4,B,5,-2
84,A,0,B,4,7
84,A,4,B,4,7
87,A,0,A,2,-1
87,A,2,A,4,1
87,A,1,B,1,3
95,A,0,D,4,7
95,A,4,D,4,7
95,B,0,D,4,7
95,B,4,D,4,7
97,B,0,B,2,-1
97,B,1,B,2,-1
97,B,0,B,3,-1
97,B,1,B,3,-1
97,B,2,B,4,1
97,B,3,B,4,1
102,A,0,A,2,-1
102,A,1,A,3,-1
102,A,3,B,1,1
102,A,1,B,3,-1
102,B,1,B,3,-1
106,A,2,B,2,6
106,B,3,B,4,1
106,B,4,B,5,-1
112,A,0,B,1,4
112,A,4,B,1,4
112,A,3,B,3,7
112,A,0,B,5,4
112,A,4,B,5,4
116,A,6,B,2,-4
116,A,6,B,6,-4
116,A,6,B1,2,-4
116,A,6,B1,6,-4
119,A,0,A,2,-1
119,A,2,A,4,1
119,B,1,B,3,-1
119,B,2,B,4,1
119,B,3,B1,1,1
119,B,4,B1,2,-1
119,B,1,B1,3,-1
119,B1,1,B1,3,-1
120,A,0,A,2,-1
120,A,2,A,4,1
123,A,0,B,5,7
123,A,4,B,5,7
126,C,0,C,2,-1
126,C,2,C,4,1
126,C,3,F,5,1
128,B,0,B,2,1
128,B,2,B1,0,-1
128,B,0,B1,2,1
128,B1,0,B1,2,1
129,A,0,B,0,7
129,A,4,B,0,7
129,A,0,B,2,6
129,A,4,B,2,6
129,B,0,B,2,-1
130,A,0,A,1,1
130,A,0,A,5,1
130,B,4,B,6,-5
134,A,3,B,2,6
140,A,0,A,1,-1
140,A,1,A,4,1
140,A,0,A,5,-1
140,A,4,A,5,-1
140,B1,4,B1,6,-5
140,B,3,B1,7,-7
140,B1,3,B1,7,-7
142,A,0,A,2,-1
142,A,2,A,4,1
142,A,2,B1,4,1
143,B,3,B,5,-3
150,B,0,B,1,-1
150,B,1,B,4,1
150,B,0,B,5,-1
150,B,4,B,5,-1
150,B,1,B1,0,1
150,B,5,B1,0,1
150,B,0,B1,1,-1
150,B,4,B1,1,-1
150,B1,0,B1,1,-1
154,B,0,B,2,-1
155,A,7,B,3,8
155,A,7,B1,3,8
168,A,0,A,1,-3
168,A,1,A,4,3
168,A,0,A,5,-3
168,A,4,A,5,-3
173,A,4,A,5,-2
179,B,0,B,1,-2
180,B,3,B,7,1
181,A,0,B,0,7
181,A,4,B,0,7
181,A,0,B,4,7
181,A,4,B,4,7
181,A,0,B1,0,7
181,A,4,B1,0,7
183,A,0,A,2,-1
183,A,2,A,4,1
185,A,2,B,4,4
186,B,0,B,2,-1
186,B,1,B,2,-1
186,B,2,B,4,1
186,B,2,B,5,1
186,B,2,B1,0,1
186,B,2,B1,1,1
186,B,0,B1,2,-1
186,B,1,B1,2,-1
186,B,4,B1,2,-1
186,B,5,B1,2,-1
186,B1,0,B1,2,-1
186,B1,1,B1,2,-1
186,B,2,B1,4,1
186,B1,2,B1,4,1
190,A,0,B,0,7
190,A,4,B,0,7
190,A,0,B,2,6
190,A,4,B,2,6
190,B,0,B,2,-1
190,A,0,B,4,7
190,A,4,B,4,7
190,B,2,B,4,1
190,A,0,B1,0,7
190,A,4,B1,0,7
190,B,2,B1,0,1
190,A,0,B1,2,6
190,A,4,B1,2,6
190,B,0,B1,2,-1
190,B,4,B1,2,-1
190,B1,0,B1,2,-1
198,A,2,B,2,7
198,A,2,B,4,7
203,B,0,B,1,1
210,A,2,A,3,-1
